"Wavelength, µm","k"
0.001737709,0.000132914
0.001740179,0.000134612
0.001742669,0.000135253
0.001745199,0.000136325
0.001747679,0.000135851
0.001750189,0.000135771
0.001752679,0.000135338
0.001755199,0.000138289
0.001757659,0.000138395
0.001760209,0.000137945
0.00176269,0.000140532
0.00176515,0.00014046
0.0017677,0.000141444
0.00177021,0.000142897
0.00177267,0.000143643
0.0017752,0.000142822
0.00177771,0.000143945
0.00178016,0.000142528
0.0017827,0.000145386
0.00178519,0.000146054
0.00178769,0.000148228
0.00179021,0.000146954
0.001792711,0.00014866
0.001795211,0.000147082
0.001797681,0.000148057
0.001800181,0.000149353
0.001802691,0.000151357
0.001805171,0.000150734
0.001807711,0.000151396
0.001810161,0.000154066
0.001812711,0.000153091
0.001815221,0.000155154
0.001817691,0.000156627
0.001820201,0.000155413
0.001822712,0.000155056
0.001825162,0.000158445
0.001827682,0.000158287
0.001830192,0.00015671
0.001832702,0.000160561
0.001835222,0.000158429
0.001837692,0.000158149
0.001840202,0.000162131
0.001842652,0.000163639
0.001845172,0.000164772
0.001847702,0.000163301
0.001850192,0.000162128
0.001852693,0.00016622
0.001855213,0.000165754
0.001857713,0.000166702
0.001860193,0.000167485
0.001862693,0.000170498
0.001865213,0.000168693
0.001867693,0.000168655
0.001870183,0.000170028
0.001872703,0.000173382
0.001875173,0.000174406
0.001877693,0.000172658
0.001880224,0.000173755
0.001882664,0.000175523
0.001885214,0.00017518
0.001887714,0.000176642
0.001890174,0.000177699
0.001892694,0.000179155
0.001895214,0.000178285
0.001897694,0.000179862
0.001900214,0.000180707
0.001902684,0.000182747
0.001905184,0.00017955
0.001907724,0.000180577
0.001910195,0.000184313
0.001912695,0.000187277
0.001915185,0.000185285
0.001917685,0.00018893
0.001920195,0.000186314
0.001922695,0.000188272
0.001925195,0.000187268
0.001927685,0.000191325
0.001930165,0.000192163
0.001932705,0.000191803
0.001935175,0.000193476
0.001937705,0.00019528
0.001940216,0.000195025
0.001942666,0.000195845
0.001945186,0.000194983
0.001947686,0.000196731
0.001950176,0.000201023
0.001952706,0.000196744
0.001955206,0.000198514
0.001957666,0.000198825
0.001960196,0.00020086
0.001962706,0.000201233
0.001965196,0.000205005
0.001967676,0.000204733
0.001970217,0.000206091
0.001972717,0.000210199
0.001975167,0.000207483
0.001977717,0.000208206
0.001980177,0.000210237
0.001982697,0.000210769
0.001985207,0.000212887
0.001987667,0.000212902
0.001990197,0.000212795
0.001992737,0.000216005
0.001995157,0.000215584
0.001997697,0.000214396
0.002000208,0.000216329
0.002002668,0.00022026
0.002005168,0.000217438
0.002007688,0.000214331
0.002010188,0.000221348
0.002012708,0.000220899
0.002015198,0.000221156
0.002017698,0.000223627
0.002020188,0.000223912
0.002022708,0.000223541
0.002025198,0.000225407
0.002027698,0.000228141
0.002030219,0.000226261
0.002032689,0.000226496
0.002035199,0.00022895
0.002037709,0.000231557
0.002040199,0.000230765
0.002042699,0.000235069
0.002045219,0.000231086
0.002047689,0.000235087
0.002050209,0.000235913
0.002052689,0.000235453
0.002055209,0.00023618
0.002057729,0.000243016
0.0020602,0.000240298
0.0020627,0.000239114
0.00206521,0.000241282
0.00206768,0.000242028
0.00207023,0.000243425
0.0020727,0.000244174
0.0020752,0.000244411
0.00207772,0.000244595
0.00208019,0.000247411
0.00208271,0.000248945
0.0020852,0.000248944
0.002087711,0.000253962
0.002090221,0.000254101
0.002092691,0.000251505
0.002095191,0.000255375
0.002097681,0.000256208
0.002100211,0.00025547
0.002102711,0.000254576
0.002105201,0.000259237
0.002107721,0.000258135
0.002110211,0.000257812
0.002112691,0.000259536
0.002115191,0.000261901
0.002117702,0.000266641
0.002120202,0.000264373
0.002122692,0.000264464
0.002125192,0.000264175
0.002127712,0.000266743
0.002130212,0.000268236
0.002132702,0.000271755
0.002135182,0.000272338
0.002137672,0.000271743
0.002140222,0.000270081
0.002142682,0.000274592
0.002145182,0.000275083
0.002147713,0.000273675
0.002150223,0.000276799
0.002152673,0.000273956
0.002155213,0.000281753
0.002157683,0.000283484
0.002159763,0.000270536
0.002165013,0.000274534
0.002170103,0.000276418
0.002175183,0.000281993
0.002180214,0.000283219
0.002185224,0.000287297
0.002190244,0.000287239
0.002195284,0.000290355
0.002200244,0.000292644
0.002205264,0.000294668
0.002210285,0.000296057
0.002215255,0.000298314
0.002220275,0.000299633
0.002225265,0.000304496
0.002230255,0.000306407
0.002235295,0.00031205
0.002240296,0.000317335
0.002245256,0.000323921
0.002250266,0.000332193
0.002255296,0.000340807
0.002260256,0.00034794
0.002265277,0.00035471
0.002270267,0.000361174
0.002275257,0.000365425
0.002280267,0.00036941
0.002285257,0.000368921
0.002290257,0.000365911
0.002295298,0.000356231
0.002300288,0.000347582
0.002305258,0.00034753
0.002310268,0.000351697
0.002315288,0.000351804
0.002320278,0.000328716
0.002325279,0.000307287
0.002330289,0.000315841
0.002335259,0.000318404
0.002340299,0.000319753
0.002345289,0.000324675
0.002350249,0.000325517
0.00235528,0.000329056
0.00236027,0.000330798
0.00236529,0.000333668
0.00237028,0.000335502
0.00237526,0.000337688
0.00238028,0.000340694
0.002385281,0.000343621
0.002390271,0.000346708
0.002395261,0.000348551
0.002400271,0.000352651
0.002405301,0.000355375
0.002410251,0.000356432
0.002415272,0.000359789
0.002420272,0.000362916
0.002425312,0.000364081
0.002430282,0.000367076
0.002435292,0.000370784
0.002440282,0.000374185
0.002445283,0.000375821
0.002450273,0.000377436
0.002455283,0.000382987
0.002460253,0.000384146
0.002465303,0.000386765
0.002470283,0.000390111
0.002475274,0.000393054
0.002480294,0.000395006
0.002485284,0.000400004
0.002490304,0.000401677
0.002495294,0.000404974
0.002500264,0.000407858
0.002505275,0.000410874
0.002510305,0.000415297
0.002515265,0.000416964
0.002520285,0.000419308
0.002525275,0.000422566
0.002530285,0.000425065
0.002535286,0.000427949
0.002540266,0.000432345
0.002545266,0.000433697
0.002550286,0.000437247
0.002555266,0.00044081
0.002560266,0.000444498
0.002565287,0.000447105
0.002570277,0.00045033
0.002575297,0.000453942
0.002580257,0.000457545
0.002585297,0.000459613
0.002590287,0.000462727
0.002595308,0.000467492
0.002600298,0.000469938
0.002605268,0.000472969
0.002610288,0.000475511
0.002615298,0.000478524
0.002620288,0.000481522
0.002625279,0.000485075
0.002630299,0.000487692
0.002635269,0.000493383
0.002640279,0.000495907
0.002645299,0.000498559
0.00265027,0.000503631
0.00265531,0.000505794
0.00266028,0.000509816
0.00266527,0.000513263
0.00267028,0.000514203
0.0026753,0.00052107
0.002680291,0.00052342
0.002685251,0.000526663
0.002690301,0.000529825
0.002695291,0.000530351
0.002700311,0.000536151
0.002705281,0.000540069
0.002710302,0.000541155
0.002715262,0.000547164
0.002720312,0.000545227
0.002725272,0.000553192
0.002730292,0.000555712
0.002735282,0.000560186
0.002740293,0.000563475
0.002745283,0.000563884
0.002750273,0.000572045
0.002755273,0.000575128
0.002760313,0.000579298
0.002765303,0.000581057
0.002770264,0.000581511
0.002775284,0.000586044
0.002780304,0.00059209
0.002785294,0.000596575
0.002790284,0.000595484
0.002795304,0.00060528
0.002800295,0.000606353
0.002810465,0.000642808
0.002820475,0.000651418
0.002830486,0.000655571
0.002840506,0.000662077
0.002850486,0.000670743
0.002860497,0.000681051
0.002870477,0.000686906
0.002880457,0.000693806
0.002890478,0.000697319
0.002900428,0.000711515
0.002910538,0.00071484
0.002920519,0.000718124
0.002930469,0.000728321
0.002940509,0.00073753
0.00295053,0.000753528
0.00296051,0.00075951
0.00297049,0.000767452
0.002980411,0.00077689
0.002990521,0.000791485
0.003000531,0.000800485
0.003010512,0.000799244
0.003020462,0.000814653
0.003030512,0.000819645
0.003040553,0.000833243
0.003050503,0.000840264
0.003060483,0.00084638
0.003070434,0.000851446
0.003080544,0.000861076
0.003090494,0.000871708
0.003100415,0.000883314
0.003110525,0.000892074
0.003120475,0.000896196
0.003130516,0.000905603
0.003140496,0.000911475
0.003150446,0.000931075
0.003160497,0.000936551
0.003170537,0.000942639
0.003180457,0.000955224
0.003190508,0.000972486
0.003200488,0.000984516
0.003210498,0.000990515
0.003220509,0.00100305
0.003230499,0.00101431
0.003240479,0.00102749
0.00325049,0.0010382
0.00326054,0.00105237
0.00327052,0.00106451
0.003280501,0.00107799
0.003290451,0.00108877
0.003300491,0.00110329
0.003310542,0.00111505
0.003320492,0.00112793
0.003330472,0.00113901
0.003340523,0.00114913
0.003350563,0.00116626
0.003360483,0.00117788
0.003370524,0.0011905
0.003380444,0.0012033
0.003390555,0.00121602
0.003400505,0.00122814
0.003410485,0.00124447
0.003420505,0.00125425
0.003430516,0.00126636
0.003440526,0.00127812
0.003450507,0.00128381
0.003460487,0.00130151
0.003470447,0.00131681
0.003480518,0.00132974
0.003490558,0.00134046
0.003500478,0.00134938
0.003510499,0.00136093
0.003520539,0.00137477
0.003530519,0.0013916
0.00354047,0.0014018
0.00355052,0.00140782
0.00356053,0.00142665
0.003570511,0.0014417
0.003580501,0.00145336
0.003590511,0.00146597
0.003600482,0.00147783
0.003610542,0.00149559
0.003620542,0.00150428
0.003630563,0.00151746
0.003640483,0.00153264
0.003650493,0.00154133
0.003660544,0.00155539
0.003670494,0.00157384
0.003680534,0.0015844
0.003690485,0.00159529
0.003700565,0.00161099
0.003710515,0.00162473
0.003720466,0.00163847
0.003730516,0.00165078
0.003740486,0.00167248
0.003750597,0.00167845
0.003760497,0.00169465
0.003770507,0.00171342
0.003780518,0.00172509
0.003790558,0.00174507
0.003800568,0.00176492
0.003810499,0.00177846
0.003820539,0.00180173
0.003830459,0.00181317
0.00384057,0.00183523
0.00385055,0.00185367
0.0038605,0.00187426
0.003870541,0.00189097
0.003880521,0.00191527
0.003890501,0.00192557
0.003900522,0.00193766
0.003910472,0.00195959
0.003920582,0.0019796
0.003930563,0.00198443
0.003940513,0.00200242
0.003950533,0.00200738
0.003960544,0.00202546
0.003970584,0.00202912
0.003980494,0.00204141
0.003990475,0.00205162
0.004000495,0.00206218
0.004010515,0.00205687
0.004020526,0.00207635
0.004030536,0.00209533
0.004040516,0.00211891
0.004050537,0.00214053
0.004060587,0.00217802
0.004070498,0.00221343
0.004080458,0.00225916
0.004090528,0.00232124
0.004100538,0.0023872
0.004110509,0.00246108
0.004120499,0.00255301
0.004130519,0.00259143
0.00414054,0.00266075
0.00415051,0.00275265
0.004160561,0.00274055
0.004170531,0.00275886
0.004180551,0.00275503
0.004190542,0.00276907
0.004200492,0.00274475
0.004210532,0.00276282
0.004220533,0.00265125
0.004230593,0.00266237
0.004240543,0.00261785
0.004250544,0.00251567
0.004260534,0.00253454
0.004270564,0.00248654
0.004280555,0.00248243
0.004290515,0.00246891
0.004300525,0.00250132
0.004310496,0.00253369
0.004320576,0.00250177
0.004330506,0.00242674
0.004340487,0.0024113
0.004350537,0.00227174
0.004360507,0.00227107
0.004370578,0.00222142
0.004380568,0.00216386
0.004390518,0.00211864
0.004399519,0.00220841
0.004420289,0.00225427
0.0044405,0.00228246
0.004460621,0.00232501
0.004480671,0.00236971
0.004500712,0.00241121
0.004520693,0.002457
0.004540743,0.00250354
0.004560754,0.00254589
0.004580775,0.00259283
0.004600745,0.00263878
0.004620736,0.00268209
0.004640767,0.00272726
0.004660757,0.00276935
0.004680748,0.00281067
0.004700699,0.00284784
0.004720779,0.00288522
0.00474071,0.00292434
0.004760771,0.00296088
0.004780741,0.00299512
0.004800792,0.00303289
0.004820763,0.00306876
0.004840754,0.00310683
0.004860774,0.00314819
0.004880715,0.00318636
0.004900815,0.00322863
0.004920766,0.00326999
0.004940787,0.00331275
