"Wavelength, µm","k"
0.21,0.411
0.22,0.503
0.23,0.564
0.24,0.601
0.25,0.603
0.26,0.569
0.27,0.511
0.28,0.466
0.29,0.445
0.3,0.436
0.31,0.434
0.32,0.439
0.33,0.447
0.34,0.454
0.35,0.465
0.36,0.47
0.37,0.491
0.38,0.504
0.39,0.517
0.4,0.529
0.41,0.542
0.42,0.556
0.43,0.569
0.44,0.583
0.45,0.596
0.46,0.61
0.47,0.623
0.48,0.636
0.49,0.648
0.5,0.659
0.51,0.669
0.52,0.68
0.53,0.69
0.54,0.7
0.55,0.711
0.56,0.721
0.57,0.732
0.58,0.743
0.59,0.754
0.6,0.765
0.61,0.777
0.62,0.788
0.63,0.8
0.64,0.814
0.65,0.822
0.66,0.832
0.67,0.844
0.68,0.855
0.69,0.866
0.7,0.877
0.71,0.888
0.72,0.898
0.73,0.909
0.74,0.919
0.75,0.929
0.76,0.94
0.77,0.95
0.78,0.96
0.79,0.97
0.8,0.979
0.81,0.988
0.82,0.999
0.83,1.011
0.84,1.022
0.85,1.032
0.86,1.044
0.87,1.054
0.88,1.062
0.89,1.07
0.9,1.08
0.91,1.09
0.92,1.098
0.93,1.107
0.94,1.116
0.95,1.124
0.96,1.132
0.97,1.141
0.98,1.149
0.99,1.158
1,1.167
1.01,1.176
1.02,1.185
1.03,1.194
1.04,1.204
1.05,1.213
1.06,1.222
1.07,1.231
1.08,1.24
1.09,1.249
1.1,1.257
1.11,1.266
1.12,1.275
1.13,1.284
1.14,1.293
1.15,1.302
1.16,1.311
1.17,1.321
1.18,1.329
1.19,1.338
1.2,1.352
1.21,1.366
1.22,1.374
1.23,1.382
1.24,1.39
1.25,1.399
1.26,1.407
1.27,1.416
1.28,1.424
1.29,1.432
1.3,1.44
1.31,1.448
1.32,1.456
1.33,1.465
1.34,1.473
1.35,1.482
1.36,1.49
1.37,1.499
1.38,1.508
1.39,1.516
1.4,1.524
1.41,1.533
1.42,1.543
1.43,1.551
1.44,1.559
1.45,1.567
1.46,1.576
1.47,1.584
1.48,1.591
1.49,1.6
1.5,1.608
1.51,1.616
1.52,1.624
1.53,1.63
1.54,1.638
1.55,1.646
1.56,1.652
1.57,1.66
1.58,1.666
1.59,1.673
1.6,1.68
1.61,1.687
1.62,1.694
1.63,1.702
1.64,1.71
1.65,1.72
1.66,1.73
1.67,1.735
1.68,1.741
1.69,1.749
