Wavelength (micron),k
0.207293697,1.32304245
0.222186495,1.27607362
0.239962011,1.167955104
0.258482414,1.012294344
0.2827906,0.85444683
0.307098785,0.741373036
0.33140697,0.71990818
0.355715155,0.744503327
0.38002334,0.833228382
0.404331525,0.930710039
0.42863971,1.106595002
0.451842978,1.289503044
0.475046245,1.506222796
0.49935443,1.706333295
0.522557698,1.912181901
0.545760965,2.087078952
0.57006915,2.283999839
0.594377336,2.470060531
0.618685521,2.637371417
0.642993706,2.812603856
0.667301891,2.978381537
0.691610076,3.135726596
0.715918261,3.30722185
0.740226446,3.446131957
0.764534631,3.596121287
0.788842816,3.747607317
0.813151001,3.886394219
0.837459186,4.022110151
0.861767371,4.181339773
0.887265468,4.291322238
0.910383742,4.435098723
0.934691927,4.58361417
0.959000112,4.712973693
0.983308297,4.845855935
1.007616482,4.978094779
1.031924667,5.109425564
1.056232852,5.235066155
1.080541037,5.358078397
1.104849222,5.483248988
1.129157407,5.602423656
1.153465592,5.729455995
1.177773777,5.844195323
1.197662293,5.935851196
