"Wavelength, µm","k"
0.26,0.171
0.28,0.189
0.3,0.205
0.32,0.22
0.34,0.23
0.36,0.236
0.38,0.243
0.4,0.249
0.42,0.255
0.44,0.262
0.46,0.266
0.48,0.272
0.5,0.273
0.52,0.275
0.54,0.277
0.56,0.279
0.58,0.281
0.6,0.283
0.62,0.285
0.64,0.287
0.66,0.289
0.68,0.291
0.7,0.293
0.72,0.295
0.74,0.298
0.76,0.3
0.78,0.302
0.8,0.304
0.82,0.305
0.84,0.306
0.86,0.308
0.88,0.311
0.9,0.312
0.92,0.313
0.94,0.314
0.96,0.315
0.98,0.317
1,0.318
1.02,0.319
1.04,0.32
1.06,0.321
1.08,0.323
1.1,0.324
1.12,0.325
1.14,0.326
1.16,0.327
1.18,0.328
1.2,0.329
1.22,0.33
1.24,0.331
1.26,0.331
1.28,0.332
1.3,0.333
1.32,0.334
1.34,0.335
1.36,0.335
1.38,0.336
1.4,0.336
1.42,0.337
1.44,0.337
1.46,0.338
1.48,0.338
1.5,0.338
1.52,0.339
1.54,0.339
1.56,0.34
1.58,0.34
1.6,0.34
1.62,0.341
1.64,0.341
1.66,0.341
1.68,0.342
1.7,0.342
1.72,0.343
1.74,0.343
1.76,0.343
1.78,0.343
1.8,0.343
1.82,0.343
1.84,0.343
1.86,0.343
1.88,0.343
1.9,0.343
1.92,0.344
1.94,0.344
1.96,0.345
1.98,0.345
2,0.346
2.02,0.347
2.04,0.347
2.06,0.348
2.08,0.349
2.1,0.35
2.12,0.351
2.14,0.351
2.16,0.352
2.18,0.352
2.2,0.352
2.22,0.353
2.24,0.353
2.26,0.353
2.28,0.353
2.3,0.353
2.32,0.353
2.34,0.352
2.36,0.352
2.38,0.351
2.4,0.351
2.42,0.35
2.44,0.349
2.46,0.348
2.48,0.347
2.5,0.346
2.5126,0.346
2.5253,0.343
2.5381,0.345
2.551,0.344
2.5641,0.343
2.5773,0.343
2.5907,0.343
2.6042,0.342
2.6178,0.343
2.6316,0.342
2.6455,0.342
2.6596,0.341
2.6738,0.342
2.6882,0.341
2.7027,0.34
2.7174,0.34
2.7322,0.339
2.7473,0.339
2.7624,0.339
2.7778,0.34
2.7933,0.338
2.809,0.339
2.8249,0.34
2.8409,0.337
2.8571,0.337
2.8736,0.337
2.8902,0.336
2.907,0.337
2.924,0.337
2.9412,0.339
2.9586,0.337
2.9762,0.336
2.994,0.335
3.012,0.338
3.0303,0.334
3.0488,0.333
3.0675,0.333
3.0864,0.335
3.1056,0.334
3.125,0.335
3.1447,0.334
3.1646,0.333
3.1847,0.334
3.2051,0.332
3.2258,0.333
3.2468,0.334
3.268,0.333
3.2895,0.334
3.3113,0.333
3.3333,0.333
3.3557,0.33
3.3784,0.329
3.4014,0.333
3.4247,0.331
3.4483,0.332
3.4722,0.331
3.4965,0.329
3.5211,0.33
3.5461,0.33
3.5714,0.331
3.5971,0.328
3.6232,0.329
3.6496,0.329
3.6765,0.328
3.7037,0.328
3.7313,0.328
3.7594,0.328
3.7879,0.328
3.8168,0.327
3.8462,0.325
3.876,0.326
3.9063,0.326
3.937,0.326
3.9683,0.325
4,0.326
4.0323,0.326
4.065,0.324
4.0984,0.324
4.1322,0.325
4.1667,0.322
4.2017,0.323
4.2373,0.322
4.2735,0.321
4.3103,0.321
4.3478,0.322
4.386,0.32
4.4248,0.321
4.4643,0.321
4.5045,0.32
4.5455,0.32
4.5872,0.321
4.6296,0.321
4.6729,0.321
4.717,0.322
4.7619,0.321
4.8077,0.321
4.8544,0.321
4.902,0.322
4.9505,0.321
5,0.327
5.0505,0.328
5.102,0.324
5.1546,0.323
5.2083,0.322
5.2632,0.32
5.3191,0.319
5.3763,0.319
5.4348,0.318
5.4945,0.318
5.5556,0.316
5.618,0.317
5.6818,0.317
5.7471,0.316
5.814,0.32
5.8824,0.323
5.9524,0.323
6.0241,0.326
6.0976,0.333
6.1728,0.343
6.25,0.353
6.3291,0.356
6.4103,0.354
6.4935,0.351
6.5789,0.349
6.6667,0.35
6.7568,0.353
6.8493,0.359
6.9444,0.363
7.0423,0.365
7.1429,0.365
7.2464,0.369
7.3529,0.372
7.4627,0.376
7.5758,0.38
7.6923,0.383
7.8125,0.389
7.9365,0.391
8.0645,0.391
8.1967,0.392
8.3333,0.393
8.4746,0.393
8.6207,0.394
8.7719,0.389
8.9286,0.386
9.0909,0.381
9.2593,0.376
9.434,0.374
9.6154,0.373
9.8039,0.367
10,0.363
10.2041,0.358
10.4167,0.355
10.6383,0.351
10.8696,0.353
11.1111,0.362
11.3636,0.373
11.6279,0.366
11.9048,0.375
12.1951,0.382
12.5,0.377
12.8205,0.376
13.1579,0.391
13.5135,0.39
13.8889,0.373
14.2857,0.368
14.7059,0.367
15.1515,0.367
15.625,0.378
16.129,0.383
16.6667,0.373
17.2414,0.368
17.8571,0.361
18.5185,0.357
19.2308,0.354
20,0.355
20.8333,0.357
21.7391,0.357
22.7273,0.356
23.8095,0.354
25,0.353
26.3158,0.351
27.7778,0.349
29.4118,0.349
31.25,0.342
33.3333,0.336
35.7143,0.334
38.4615,0.334
41.6667,0.333
45.4545,0.323
50,0.295
55.5556,0.264
