"Wavelength, µm","n"
0.001737709,0.99905711
0.001740179,0.99905448
0.001742669,0.99905229
0.001745199,0.99905032
0.001747679,0.99904823
0.001750189,0.99904533
0.001752679,0.99904133
0.001755199,0.99903824
0.001757659,0.99903653
0.001760209,0.99903295
0.00176269,0.99903006
0.00176515,0.99902791
0.0017677,0.99902482
0.00177021,0.99902243
0.00177267,0.99902078
0.0017752,0.99901816
0.00177771,0.99901546
0.00178016,0.99901188
0.0017827,0.99900811
0.00178519,0.99900564
0.00178769,0.99900387
0.00179021,0.99900162
0.001792711,0.99899912
0.001795211,0.99899636
0.001797681,0.99899234
0.001800181,0.99898896
0.001802691,0.99898676
0.001805171,0.99898439
0.001807711,0.99898049
0.001810161,0.99897823
0.001812711,0.99897568
0.001815221,0.9989724
0.001817691,0.99897099
0.001820201,0.99896888
0.001822712,0.99896451
0.001825162,0.99896171
0.001827682,0.99896051
0.001830192,0.99895654
0.001832702,0.99895381
0.001835222,0.9989519
0.001837692,0.99894671
0.001840202,0.99894293
0.001842652,0.99894141
0.001845172,0.9989402
0.001847702,0.99893818
0.001850192,0.9989333
0.001852693,0.99892988
0.001855213,0.99892791
0.001857713,0.99892465
0.001860193,0.99892125
0.001862693,0.9989195
0.001865213,0.9989177
0.001867693,0.99891355
0.001870183,0.99890921
0.001872703,0.9989066
0.001875173,0.99890584
0.001877693,0.99890321
0.001880224,0.99889914
0.001882664,0.99889662
0.001885214,0.99889374
0.001887714,0.99889037
0.001890174,0.99888763
0.001892694,0.9988855
0.001895214,0.99888261
0.001897694,0.99887916
0.001900214,0.99887625
0.001902684,0.99887481
0.001905184,0.99887185
0.001907724,0.99886591
0.001910195,0.99886202
0.001912695,0.99886117
0.001915185,0.99885869
0.001917685,0.99885636
0.001920195,0.99885406
0.001922695,0.99885037
0.001925195,0.99884631
0.001927685,0.99884274
0.001930165,0.99884138
0.001932705,0.99883839
0.001935175,0.99883499
0.001937705,0.99883292
0.001940216,0.99883066
0.001942666,0.99882807
0.001945186,0.99882452
0.001947686,0.99881998
0.001950176,0.99881917
0.001952706,0.99881716
0.001955206,0.99881243
0.001957666,0.99880875
0.001960196,0.99880519
0.001962706,0.99880136
0.001965196,0.9987986
0.001967676,0.99879651
0.001970217,0.99879258
0.001972717,0.99879145
0.001975167,0.99879005
0.001977717,0.99878562
0.001980177,0.99878259
0.001982697,0.99877972
0.001985207,0.99877724
0.001987667,0.99877521
0.001990197,0.99877142
0.001992737,0.99876881
0.001995157,0.99876751
0.001997697,0.99876369
0.002000208,0.99875909
0.002002668,0.99875804
0.002005168,0.99875729
0.002007688,0.99875064
0.002010188,0.99874619
0.002012708,0.99874516
0.002015198,0.99874151
0.002017698,0.99873862
0.002020188,0.9987366
0.002022708,0.99873299
0.002025198,0.99872902
0.002027698,0.99872735
0.002030219,0.99872509
0.002032689,0.99872036
0.002035199,0.99871618
0.002037709,0.99871407
0.002040199,0.99871092
0.002042699,0.99870914
0.002045219,0.99870619
0.002047689,0.9987017
0.002050209,0.99869993
0.002052689,0.99869672
0.002055209,0.99869132
0.002057729,0.99868987
0.0020602,0.99869006
0.0020627,0.99868578
0.00206521,0.99868179
0.00206768,0.99867885
0.00207023,0.9986758
0.0020727,0.99867315
0.0020752,0.99867005
0.00207772,0.99866571
0.00208019,0.99866197
0.00208271,0.99865958
0.0020852,0.99865559
0.002087711,0.99865309
0.002090221,0.99865306
0.002092691,0.9986493
0.002095191,0.99864536
0.002097681,0.99864407
0.002100211,0.99864165
0.002102711,0.99863672
0.002105201,0.99863363
0.002107721,0.99863207
0.002110211,0.99862784
0.002112691,0.99862331
0.002115191,0.9986193
0.002117702,0.99861838
0.002120202,0.99861757
0.002122692,0.99861407
0.002125192,0.99860975
0.002127712,0.9986056
0.002130212,0.99860222
0.002132702,0.99860011
0.002135182,0.99859929
0.002137672,0.99859743
0.002140222,0.99859266
0.002142682,0.99858907
0.002145182,0.99858815
0.002147713,0.99858467
0.002150223,0.99858195
0.002152673,0.99857765
0.002155213,0.99857466
0.002157683,0.99858012
0.002159763,0.99857781
0.002165013,0.99856251
0.002170103,0.99855327
0.002175183,0.99854592
0.002180214,0.99853961
0.002185224,0.9985335
0.002190244,0.99852711
0.002195284,0.99851956
0.002200244,0.99851311
0.002205264,0.99850651
0.002210285,0.99849927
0.002215255,0.99849175
0.002220275,0.99848303
0.002225265,0.9984748
0.002230255,0.99846647
0.002235295,0.99845736
0.002240296,0.99844932
0.002245256,0.99844151
0.002250266,0.99843508
0.002255296,0.99843102
0.002260256,0.99842862
0.002265277,0.99842708
0.002270267,0.9984272
0.002275257,0.99842848
0.002280267,0.99843136
0.002285257,0.9984353
0.002290257,0.99843898
0.002295298,0.99843895
0.002300288,0.99843139
0.002305258,0.99842208
0.002310268,0.99841886
0.002315288,0.99842531
0.002320278,0.9984258
0.002325279,0.99840369
0.002330289,0.998381
0.002335259,0.9983696
0.002340299,0.99835753
0.002345289,0.99834734
0.002350249,0.99833817
0.00235528,0.9983286
0.00236027,0.99831979
0.00236529,0.99831091
0.00237028,0.99830232
0.00237526,0.99829321
0.00238028,0.99828423
0.002385281,0.99827574
0.002390271,0.99826778
0.002395261,0.9982593
0.002400271,0.99825104
0.002405301,0.99824406
0.002410251,0.99823601
0.002415272,0.99822735
0.002420272,0.99822001
0.002425312,0.99821189
0.002430282,0.99820295
0.002435292,0.99819481
0.002440282,0.99818775
0.002445283,0.99818043
0.002450273,0.99817125
0.002455283,0.99816345
0.002460253,0.99815659
0.002465303,0.99814797
0.002470283,0.99813992
0.002475274,0.99813238
0.002480294,0.9981238
0.002485284,0.99811606
0.002490304,0.99810881
0.002495294,0.99810068
