"Wavelength, µm","n"
0.21,1.248
0.22,1.293
0.23,1.361
0.24,1.445
0.25,1.532
0.26,1.607
0.27,1.643
0.28,1.64
0.29,1.626
0.3,1.613
0.31,1.6
0.32,1.589
0.33,1.583
0.34,1.577
0.35,1.57
0.36,1.567
0.37,1.565
0.38,1.564
0.39,1.565
0.4,1.565
0.41,1.566
0.42,1.567
0.43,1.568
0.44,1.571
0.45,1.574
0.46,1.577
0.47,1.581
0.48,1.586
0.49,1.591
0.5,1.596
0.51,1.6
0.52,1.605
0.53,1.608
0.54,1.612
0.55,1.615
0.56,1.618
0.57,1.622
0.58,1.624
0.59,1.627
0.6,1.63
0.61,1.634
0.62,1.637
0.63,1.64
0.64,1.646
0.65,1.651
0.66,1.653
0.67,1.657
0.68,1.661
0.69,1.666
0.7,1.67
0.71,1.675
0.72,1.68
0.73,1.684
0.74,1.689
0.75,1.693
0.76,1.697
0.77,1.702
0.78,1.706
0.79,1.711
0.8,1.716
0.81,1.718
0.82,1.721
0.83,1.725
0.84,1.731
0.85,1.736
0.86,1.741
0.87,1.748
0.88,1.754
0.89,1.758
0.9,1.762
0.91,1.768
0.92,1.773
0.93,1.778
0.94,1.783
0.95,1.787
0.96,1.792
0.97,1.796
0.98,1.8
0.99,1.804
1,1.807
1.01,1.811
1.02,1.815
1.03,1.819
1.04,1.823
1.05,1.827
1.06,1.831
1.07,1.836
1.08,1.84
1.09,1.844
1.1,1.848
1.11,1.852
1.12,1.856
1.13,1.859
1.14,1.863
1.15,1.867
1.16,1.871
1.17,1.874
1.18,1.878
1.19,1.88
1.2,1.882
1.21,1.891
1.22,1.898
1.23,1.904
1.24,1.909
1.25,1.914
1.26,1.92
1.27,1.925
1.28,1.93
1.29,1.935
1.3,1.94
1.31,1.945
1.32,1.949
1.33,1.954
1.34,1.958
1.35,1.962
1.36,1.967
1.37,1.971
1.38,1.976
1.39,1.981
1.4,1.986
1.41,1.99
1.42,1.996
1.43,2.001
1.44,2.006
1.45,2.012
1.46,2.017
1.47,2.022
1.48,2.028
1.49,2.032
1.5,2.038
1.51,2.043
1.52,2.05
1.53,2.055
1.54,2.059
1.55,2.066
1.56,2.071
1.57,2.076
1.58,2.081
1.59,2.085
1.6,2.09
1.61,2.094
1.62,2.097
1.63,2.101
1.64,2.105
1.65,2.108
1.66,2.116
1.67,2.124
1.68,2.127
1.69,2.132
1.7,2.137
1.71,2.141
1.72,2.146
1.73,2.151
1.74,2.157
1.75,2.162
1.76,2.168
1.77,2.174
1.78,2.179
1.79,2.184
1.8,2.191
1.81,2.197
1.82,2.202
1.83,2.207
1.84,2.212
1.85,2.217
1.86,2.223
1.87,2.224
1.88,2.227
1.89,2.232
1.9,2.236
1.91,2.239
1.92,2.243
1.93,2.247
1.94,2.251
1.95,2.255
1.96,2.26
1.97,2.263
1.98,2.266
1.99,2.266
2,2.266
2.01,2.277
2.02,2.286
2.03,2.293
2.04,2.299
2.05,2.305
2.06,2.311
2.07,2.316
2.08,2.321
2.09,2.327
2.1,2.331
2.11,2.336
2.12,2.341
2.13,2.345
2.14,2.35
2.15,2.354
2.16,2.358
2.17,2.363
2.18,2.367
2.19,2.372
2.2,2.376
2.21,2.379
2.22,2.383
2.23,2.387
2.24,2.391
2.25,2.394
2.26,2.4
2.27,2.406
2.28,2.412
2.29,2.419
2.3,2.426
2.31,2.431
2.32,2.436
2.33,2.44
2.34,2.445
2.35,2.45
2.36,2.456
2.37,2.462
2.38,2.466
2.39,2.472
2.4,2.477
2.41,2.482
2.42,2.487
2.43,2.492
2.44,2.498
2.45,2.504
2.46,2.512
2.47,2.521
2.48,2.53
2.49,2.542
2.5,2.573
2.5063,2.551
2.5126,2.548
2.5189,2.547
2.5253,2.545
2.5316,2.546
2.5381,2.549
2.5445,2.552
2.551,2.554
2.5575,2.555
2.5641,2.556
2.5707,2.559
2.5773,2.562
2.584,2.565
2.5907,2.568
2.5974,2.571
2.6042,2.572
2.611,2.576
2.6178,2.58
2.6247,2.582
2.6316,2.586
2.6385,2.587
2.6455,2.589
2.6525,2.59
2.6596,2.593
2.6667,2.597
2.6738,2.602
2.681,2.607
2.6882,2.61
2.6954,2.612
2.7027,2.614
2.71,2.615
2.7174,2.619
2.7248,2.626
2.7322,2.63
2.7397,2.633
2.7473,2.635
2.7548,2.639
2.7624,2.642
2.7701,2.646
2.7778,2.648
2.7855,2.652
2.7933,2.655
2.8011,2.659
2.809,2.661
2.8169,2.667
2.8249,2.671
2.8329,2.675
2.8409,2.676
2.849,2.682
2.8571,2.685
2.8653,2.689
2.8736,2.694
2.8818,2.698
2.8902,2.701
2.8986,2.703
2.907,2.708
2.9155,2.713
2.924,2.718
2.9326,2.721
2.9412,2.725
2.9499,2.728
2.9586,2.731
2.9674,2.734
2.9762,2.739
2.9851,2.742
2.994,2.746
3.003,2.751
3.012,2.756
3.0211,2.759
3.0303,2.765
3.0395,2.771
3.0488,2.776
3.0581,2.778
3.0675,2.782
3.0769,2.786
3.0864,2.791
3.096,2.795
3.1056,2.799
3.1153,2.803
3.125,2.808
3.1348,2.811
3.1447,2.815
3.1546,2.822
3.1646,2.826
3.1746,2.83
3.1847,2.833
3.1949,2.839
3.2051,2.845
3.2154,2.85
3.2258,2.853
3.2362,2.856
3.2468,2.864
3.2573,2.869
3.268,2.873
3.2787,2.877
3.2895,2.88
3.3003,2.884
3.3113,2.888
3.3223,2.893
3.3333,2.899
3.3445,2.903
3.3557,2.907
3.367,2.911
3.3784,2.916
3.3898,2.921
3.4014,2.923
3.413,2.928
3.4247,2.934
3.4364,2.942
3.4483,2.946
3.4602,2.951
3.4722,2.956
3.4843,2.962
3.4965,2.966
3.5088,2.971
3.5211,2.976
3.5336,2.982
3.5461,2.987
3.5587,2.991
3.5714,2.994
3.5842,3
3.5971,3.006
3.6101,3.011
3.6232,3.015
3.6364,3.021
3.6496,3.027
3.663,3.033
3.6765,3.038
3.69,3.043
3.7037,3.047
3.7175,3.052
3.7313,3.057
3.7453,3.065
3.7594,3.071
3.7736,3.076
3.7879,3.082
3.8023,3.089
3.8168,3.095
3.8314,3.101
3.8462,3.106
3.861,3.109
3.876,3.114
3.8911,3.122
3.9063,3.127
3.9216,3.132
3.937,3.138
3.9526,3.146
3.9683,3.152
3.9841,3.157
4,3.165
4.0161,3.17
4.0323,3.177
4.0486,3.183
4.065,3.19
4.0816,3.198
4.0984,3.205
4.1152,3.21
4.1322,3.214
4.1494,3.219
4.1667,3.225
4.1841,3.235
4.2017,3.245
4.2194,3.251
4.2373,3.254
4.2553,3.259
4.2735,3.266
4.2918,3.272
4.3103,3.275
4.329,3.28
4.3478,3.285
4.3668,3.294
4.386,3.302
4.4053,3.312
4.4248,3.318
4.4444,3.324
4.4643,3.331
4.4843,3.337
4.5045,3.345
4.5249,3.352
4.5455,3.361
4.5662,3.368
4.5872,3.377
4.6083,3.383
4.6296,3.388
4.6512,3.396
4.6729,3.406
4.6948,3.414
4.717,3.421
4.7393,3.43
4.7619,3.438
4.7847,3.447
4.8077,3.452
4.8309,3.46
4.8544,3.469
