"Wavelength, µm","n"
0.03107,0.84
0.03179,0.831
0.03263,0.834
0.03351,0.831
0.03444,0.815
0.03542,0.801
0.03646,0.781
0.03757,0.76
0.03874,0.737
0.03999,0.715
0.04133,0.698
0.04275,0.681
0.04428,0.658
0.04592,0.633
0.04768,0.602
0.04959,0.583
0.05166,0.589
0.0539,0.628
0.05635,0.667
0.05904,0.702
0.06199,0.749
0.06525,0.793
0.06888,0.811
0.07293,0.791
0.07749,0.747
0.08265,0.759
0.08856,0.793
0.09537,0.86
0.1033,0.855
0.1127,0.823
0.124,1
0.1305,1.09
0.1378,1.19
0.1459,1.28
0.155,1.38
0.1653,1.46
0.1771,1.55
0.1907,1.69
0.2066,1.85
0.2254,2.06
0.248,2.25
0.2755,2.31
0.31,2.27
0.3542,2.14
0.4133,1.74
0.4959,1.2
0.6199,1.32
0.8266,1.82
1.2399,2.69
2.4797,4.52
