Wavelength (micron),n
0.208514017,2.026611414
0.220661157,2.083081571
0.23184609,2.161025874
0.241818182,2.203927492
0.25328083,2.19886855
0.265619835,2.179758308
0.277741047,2.148424892
0.296201588,2.10010268
0.30741533,2.017325527
0.312561983,1.932024169
0.318123481,1.827705705
0.329661319,1.715905785
0.345429698,1.594733066
0.364169944,1.457496876
0.383889159,1.325616571
0.397478168,1.199220469
0.41590666,1.08824991
0.43373262,0.969933907
0.457731324,0.861569438
0.483114568,0.785884846
0.508497812,0.737670467
0.533881057,0.712875153
0.559264301,0.70463135
0.584647545,0.70463135
0.610030789,0.709376329
0.635414033,0.729650333
0.660797278,0.748582322
0.686180522,0.774160478
0.711563766,0.798891887
0.73694701,0.830748753
0.762330254,0.863803846
0.787713499,0.899750661
0.813096743,0.93581844
0.838479987,0.968560853
0.863863231,1.008949096
0.889246475,1.045055675
0.91462972,1.088095995
0.940012964,1.130081874
0.965396208,1.175039357
0.990779452,1.2224572
1.016162696,1.26374012
1.041545941,1.296193728
1.066929185,1.335840596
1.091651272,1.385766061
1.117695673,1.427461136
1.143078918,1.459520566
1.168462162,1.524231295
1.193845406,1.568169052
1.20372387,1.597150643
