"Wavelength, µm","n"
0.26,1.39
0.28,1.415
0.3,1.439
0.32,1.46
0.34,1.483
0.36,1.5
0.38,1.514
0.4,1.528
0.42,1.539
0.44,1.553
0.46,1.565
0.48,1.577
0.5,1.589
0.52,1.599
0.54,1.608
0.56,1.617
0.58,1.624
0.6,1.632
0.62,1.639
0.64,1.646
0.66,1.652
0.68,1.658
0.7,1.664
0.72,1.67
0.74,1.676
0.76,1.682
0.78,1.688
0.8,1.694
0.82,1.701
0.84,1.706
0.86,1.71
0.88,1.715
0.9,1.722
0.92,1.727
0.94,1.731
0.96,1.736
0.98,1.741
1,1.746
1.02,1.75
1.04,1.755
1.06,1.759
1.08,1.763
1.1,1.768
1.12,1.772
1.14,1.776
1.16,1.78
1.18,1.785
1.2,1.789
1.22,1.793
1.24,1.797
1.26,1.801
1.28,1.805
1.3,1.809
1.32,1.812
1.34,1.816
1.36,1.82
1.38,1.824
1.4,1.827
1.42,1.831
1.44,1.835
1.46,1.838
1.48,1.841
1.5,1.844
1.52,1.848
1.54,1.852
1.56,1.855
1.58,1.858
1.6,1.861
1.62,1.864
1.64,1.867
1.66,1.87
1.68,1.873
1.7,1.876
1.72,1.879
1.74,1.882
1.76,1.885
1.78,1.888
1.8,1.891
1.82,1.893
1.84,1.896
1.86,1.898
1.88,1.9
1.9,1.903
1.92,1.905
1.94,1.907
1.96,1.909
1.98,1.912
2,1.914
2.02,1.916
2.04,1.919
2.06,1.921
2.08,1.924
2.1,1.927
2.12,1.929
2.14,1.933
2.16,1.936
2.18,1.939
2.2,1.942
2.22,1.945
2.24,1.947
2.26,1.951
2.28,1.954
2.3,1.956
2.32,1.96
2.34,1.963
2.36,1.966
2.38,1.968
2.4,1.971
2.42,1.974
2.44,1.977
2.46,1.979
2.48,1.981
2.5,1.984
2.5126,1.985
2.5253,1.986
2.5381,1.985
2.551,1.988
2.5641,1.988
2.5773,1.989
2.5907,1.991
2.6042,1.992
2.6178,1.993
2.6316,1.995
2.6455,1.995
2.6596,1.997
2.6738,1.997
2.6882,2
2.7027,2
2.7174,2.002
2.7322,2.003
2.7473,2.003
2.7624,2.004
2.7778,2.006
2.7933,2.007
2.809,2.007
2.8249,2.011
2.8409,2.012
2.8571,2.012
2.8736,2.013
2.8902,2.014
2.907,2.014
2.924,2.015
2.9412,2.017
2.9586,2.021
2.9762,2.021
2.994,2.022
3.012,2.024
3.0303,2.025
3.0488,2.026
3.0675,2.026
3.0864,2.026
3.1056,2.028
3.125,2.03
3.1447,2.032
3.1646,2.032
3.1847,2.034
3.2051,2.035
3.2258,2.036
3.2468,2.037
3.268,2.039
3.2895,2.041
3.3113,2.043
3.3333,2.045
3.3557,2.048
3.3784,2.045
3.4014,2.047
3.4247,2.049
3.4483,2.05
3.4722,2.052
3.4965,2.053
3.5211,2.054
3.5461,2.056
3.5714,2.058
3.5971,2.059
3.6232,2.058
3.6496,2.062
3.6765,2.062
3.7037,2.063
3.7313,2.066
3.7594,2.067
3.7879,2.069
3.8168,2.071
3.8462,2.071
3.876,2.071
3.9063,2.075
3.937,2.076
3.9683,2.077
4,2.076
4.0323,2.08
4.065,2.081
4.0984,2.082
4.1322,2.084
4.1667,2.086
4.2017,2.086
4.2373,2.089
4.2735,2.089
4.3103,2.09
4.3478,2.091
4.386,2.093
4.4248,2.093
4.4643,2.095
4.5045,2.096
4.5455,2.097
4.5872,2.098
4.6296,2.1
4.6729,2.1
4.717,2.102
4.7619,2.103
4.8077,2.103
4.8544,2.105
4.902,2.106
4.9505,2.108
5,2.107
5.0505,2.115
5.102,2.118
5.1546,2.118
5.2083,2.12
5.2632,2.122
5.3191,2.122
5.3763,2.124
5.4348,2.123
5.4945,2.123
5.5556,2.125
5.618,2.122
5.6818,2.123
5.7471,2.121
5.814,2.119
5.8824,2.12
5.9524,2.12
6.0241,2.115
6.0976,2.114
6.1728,2.115
6.25,2.122
6.3291,2.133
6.4103,2.141
6.4935,2.145
6.5789,2.146
6.6667,2.146
6.7568,2.146
6.8493,2.148
6.9444,2.154
7.0423,2.16
7.1429,2.162
7.2464,2.165
7.3529,2.17
7.4627,2.173
7.5758,2.179
7.6923,2.185
7.8125,2.192
7.9365,2.202
8.0645,2.21
8.1967,2.217
8.3333,2.225
8.4746,2.234
8.6207,2.244
8.7719,2.254
8.9286,2.261
9.0909,2.269
9.2593,2.274
9.434,2.277
9.6154,2.283
9.8039,2.289
10,2.292
10.2041,2.295
10.4167,2.296
10.6383,2.294
10.8696,2.29
11.1111,2.288
11.3636,2.3
11.6279,2.307
11.9048,2.307
12.1951,2.321
12.5,2.334
12.8205,2.333
13.1579,2.342
13.5135,2.37
13.8889,2.378
14.2857,2.379
14.7059,2.383
15.1515,2.386
15.625,2.388
16.129,2.412
16.6667,2.425
17.2414,2.435
17.8571,2.444
18.5185,2.449
19.2308,2.454
20,2.461
20.8333,2.47
21.7391,2.482
22.7273,2.494
23.8095,2.508
25,2.519
26.3158,2.533
27.7778,2.546
29.4118,2.564
31.25,2.583
33.3333,2.597
35.7143,2.612
38.4615,2.631
41.6667,2.66
45.4545,2.697
50,2.731
55.5556,2.754
